dataset,setting,method,model_seed,stream_seed,alpha,delta,epsilon,outage_rate,budget,n_windows,acc,fidelity_risk,violation_rate,cost_scalar,energy_mJ,latency_ms,usd,esc_cloud,n_reselect,final_debt
har,iid,codec_no_explore,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.9606,0.0145999999999999,0.0,0.4470760694877739,0.3284706601343999,29.225092041472003,8.212e-05,0.4105999999999999,1,0.0
har,iid,codec_no_aci,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.9682,0.023,0.0,0.7003220368416347,0.6914472329088001,36.702639259392,6.132000000000002e-05,0.2253999999999999,9,0.0
har,iid,codec_bonferroni,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.964,0.0144,0.0,0.5279774952070181,0.4298040528384,32.36365186662401,8.104000000000002e-05,0.3352,9,0.0
har,iid,codec_rawconf,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.9652,0.019,0.0,0.8047382409071971,0.6916016558976,47.45196954598401,0.00010964,0.504,9,0.0
har,iid,codec_two_tier,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.9595999999999998,0.016,0.0,0.5184205664378355,0.35867794176,35.02624500940801,0.00010368,0.4646,9,0.0
har,iid,device_only,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.876,0.1263999999999999,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.9672,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.9486,0.0538,0.6,0.141644796909375,0.1724010916608,5.761579276800001,0.0,0.0,0,0.0
har,iid,learned_router,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.9462,0.0516,0.6,0.1352366456667937,0.1569264855168,5.894893956352002,2.92e-06,0.0145999999999999,0,0.0
har,iid,offline_crc,1,3,0.05,0.1,0.0,0.0,-1.0,10,0.9464,0.0409999999999999,0.1,0.1560680241268936,0.1569572934144,8.039420942336003,1.2559999999999998e-05,0.0628,0,0.0
har,iid,online_naive,1,3,0.05,0.1,0.1,0.0,-1.0,10,0.9664,0.0208,0.0,0.6424331715571113,0.6096173666688001,34.934804054784,6.564000000000002e-05,0.2547999999999999,9,0.0
har,iid,online_ipw,1,3,0.05,0.1,0.1,0.0,-1.0,10,0.9691999999999998,0.0056,0.0,0.7208639018634663,0.6235415101824,42.300960420608,9.668000000000002e-05,0.4293999999999999,9,0.0
har,iid,codec,1,3,0.05,0.1,0.1,0.0,-1.0,10,0.9672,0.0227999999999999,0.0,0.5927693247807586,0.5454740977152,33.107407361024,6.704000000000002e-05,0.2649999999999999,9,0.0
